"feature"	"metadata"	"value"	"name"	"coef"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"model"	"N"	"N_not_zero"
"X1.1.1.88"	"duration"	"Week 6"	"durationWeek 6"	8.00086005518155	0.572617808055245	2.29667393080088e-44	6.81882490054781e-41	4.59334786160178e-44	9.5311968128237e-41	"prevalence"	70	65
"X3.1.1.17"	"duration"	"Week 6"	"durationWeek 6"	7.96725193867914	0.619885272065051	8.29688343183035e-38	1.23167234545521e-34	8.29688343183035e-38	8.60801656052398e-35	"prevalence"	70	5
"X3.5.1.19"	"duration"	"Week 6"	"durationWeek 6"	-8.5655484281568	0.994541872319172	7.1448838000425e-18	7.07105333410872e-15	1.4289767600085e-17	9.88375592339215e-15	"prevalence"	70	64
"X2.7.1.172"	"duration"	"Week 6"	"durationWeek 6"	-8.3459122617372	0.985339435670299	2.45206580217734e-17	1.82004584166613e-14	4.9041316043547e-17	2.544018269759e-14	"prevalence"	70	61
"X3.6.4.6"	"duration"	"Week 6"	"durationWeek 6"	-8.5640415483369	1.37202796280642	4.3232718487859e-10	2.56715882380907e-07	8.64654369570271e-10	3.58831563371663e-07	"prevalence"	70	51
"X3.6.3.43"	"duration"	"Week 6"	"durationWeek 6"	-8.01581854648312	1.30636750471548	8.46465399977817e-10	4.18859295422357e-07	1.69293079923913e-09	5.85471901403532e-07	"prevalence"	70	59
"X2.7.1.63"	"duration"	"Week 6"	"durationWeek 6"	-7.55243263172491	1.32891560428942	1.32232747264167e-08	5.6085575232473e-06	2.64465492779783e-08	7.83951282168641e-06	"prevalence"	70	66
"X3.1.3.37"	"duration"	"Week 6"	"durationWeek 6"	-8.05025408576985	1.50585286620101	8.99308599348923e-08	3.33755903933369e-05	1.79861711782225e-07	4.66516314935146e-05	"prevalence"	70	62
"X1.3.1.2"	"duration"	"Week 6"	"durationWeek 6"	-7.18858356111578	1.42195664019494	4.29451704726383e-07	0.000141671345703626	8.58903225024001e-07	0.000198024910213867	"prevalence"	70	61
"X3.5.2.5"	"duration"	"Week 6"	"durationWeek 6"	-8.04792524292868	1.61170279215373	5.9316258405041e-07	0.000176109971204567	1.18632481625897e-06	0.000246162399373736	"prevalence"	70	62
"X3.5.3.7"	"duration"	"Week 6"	"durationWeek 6"	-7.73645750708128	1.56490745217303	7.6647465386496e-07	0.000206878477029552	1.53294872024652e-06	0.000289169872228322	"prevalence"	70	57
"X1.3.99.4"	"duration"	"Week 6"	"durationWeek 6"	7.55761640535924	1.54525666431841	1.00402167530214e-06	0.000248411696164339	2.00804234254476e-06	0.000347223988398365	"prevalence"	70	66
"X2.4.1.12"	"duration"	"Week 6"	"durationWeek 6"	-7.56354958956239	1.5566890380493	1.18134267698883e-06	0.000269800492921527	2.36268395840715e-06	0.000377120708745756	"prevalence"	70	66
"X2.1.1.52"	"duration"	"Week 6"	"durationWeek 6"	-6.84620184236502	1.43484697872339	1.82966921990697e-06	0.000388020565278842	3.65933509212448e-06	0.000542365736868449	"prevalence"	70	64
"X3.2.1.145"	"duration"	"Week 6"	"durationWeek 6"	-7.37202578204296	1.55290602607356	2.06205843640835e-06	0.000408150099846425	4.1241126207317e-06	0.000570502245867885	"prevalence"	70	58
"X3.1.1.1"	"duration"	"Week 6"	"durationWeek 6"	7.5569949263555	1.60533261050793	2.50856289035056e-06	0.000465495201340676	5.01711948781335e-06	0.000650657683575794	"prevalence"	70	66
"X4.2.1.113"	"duration"	"Week 6"	"durationWeek 6"	0.668685543375224	0.13645135329184	1.88169616856691e-05	0.00328632701439715	1.88169616856691e-05	0.00229677620575078	"abundance"	70	70
"X2.3.1.128"	"duration"	"Week 6"	"durationWeek 6"	-0.78016737458312	0.157569535117435	2.64244994693714e-05	0.00412917573287178	2.64244994693714e-05	0.00304615757771921	"abundance"	70	70
"X6.5.1.1"	"duration"	"Week 6"	"durationWeek 6"	-6.77088053255899	1.61026702579453	2.61291785316449e-05	0.00412917573287178	5.22576743293191e-05	0.00542173371166686	"prevalence"	70	59
"X2.4.1.175"	"duration"	"Week 6"	"durationWeek 6"	-1.16874140678715	0.237191370553013	3.36341604761825e-05	0.0049929911226893	6.72671896956141e-05	0.00624953778079798	"abundance"	70	63
"X2.4.1.226"	"duration"	"Week 6"	"durationWeek 6"	-1.15157648041635	0.237501510427093	4.23804953384263e-05	0.00599179479332323	8.47591945704675e-05	0.0070350131493488	"abundance"	70	63
"X1.8.5.7"	"duration"	"Week 6"	"durationWeek 6"	-8.82765693751978	2.16270568339235	4.46949263708192e-05	0.00603178347249828	4.46949263708192e-05	0.00488115643260262	"prevalence"	70	7
