"feature"	"metadata"	"value"	"name"	"coef"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"model"	"N"	"N_not_zero"
"X1.3.99.5"	"duration"	"Week 6"	"durationWeek 6"	13.0976983468045	0.227186821662067	0	0	0	0	"prevalence"	138	131
"X2.3.2.2"	"diet"	"oat:durationWeek 6"	"dietoat:durationWeek 6"	15.8998339327933	0.152948635202341	0	0	0	0	"prevalence"	138	131
"X2.3.3.16"	"duration"	"Week 6"	"durationWeek 6"	-13.9066771002519	0.2442386858759	0	0	0	0	"prevalence"	138	120
"X2.7.11.33"	"duration"	"Week 6"	"durationWeek 6"	-13.941070251266	0.158602780435575	0	0	0	0	"prevalence"	138	127
"X2.7.4.28"	"duration"	"Week 6"	"durationWeek 6"	-13.941070251266	0.158602780435575	0	0	0	0	"prevalence"	138	127
"X3.2.1.64"	"diet"	"oat:durationWeek 6"	"dietoat:durationWeek 6"	13.1944356155261	0.323877436811473	0	0	0	0	"prevalence"	138	126
"X3.4.21.83"	"duration"	"Week 6"	"durationWeek 6"	-14.3435719464711	0.127932220796905	0	0	0	0	"prevalence"	138	121
"X6.6.1.1"	"diet"	"oat:durationWeek 6"	"dietoat:durationWeek 6"	13.7272417726502	0.035532943122162	0	0	0	0	"prevalence"	138	130
"X6.6.1.1"	"duration"	"Week 6"	"durationWeek 6"	2.69188428683867	0.0355302218903387	0	0	0	0	"prevalence"	138	130
"X2.4.1.247"	"diet"	"oat:durationWeek 6"	"dietoat:durationWeek 6"	-13.4409185265215	0.406867315581849	2.54298620156103e-239	2.36370567435098e-236	5.08597240312161e-239	3.23010107322253e-236	"prevalence"	138	123
"X2.4.1.247"	"diet"	"oat"	"dietoat"	14.2489732268732	0.718933179040696	2.01676574357099e-87	1.70416705331749e-84	4.03353148714196e-87	2.32881440680351e-84	"prevalence"	138	123
"X2.3.2.2"	"duration"	"Week 6"	"durationWeek 6"	-2.61240497964087	0.152248913970676	5.40407645502671e-66	4.18590755412278e-63	1.08081529100535e-65	5.72021492764581e-63	"prevalence"	138	131
"X3.6.1.41"	"duration"	"Week 6"	"durationWeek 6"	-11.0869019699346	0.671160574039931	2.67798559459102e-61	1.91475970013258e-58	5.35597118918205e-61	2.61659792480732e-58	"prevalence"	138	127
"X2.3.3.16"	"diet"	"oat"	"dietoat"	-14.8544910149146	1.07421419166583	1.7218329351245e-43	1.14317408085587e-40	3.44366587024901e-43	1.56219442442511e-40	"prevalence"	138	120
"X3.4.21.83"	"diet"	"oat"	"dietoat"	-14.9298393232866	1.13513889109336	1.64783300953377e-39	1.02110718824109e-36	3.29566601906753e-39	1.39538499247319e-36	"prevalence"	138	121
"X2.3.3.16"	"diet"	"oat:durationWeek 6"	"dietoat:durationWeek 6"	15.4115692705898	1.32866124870554	4.15357167082228e-31	2.41296554251832e-28	8.30714334164455e-31	3.29741671017403e-28	"prevalence"	138	120
"X3.4.21.83"	"diet"	"oat:durationWeek 6"	"dietoat:durationWeek 6"	15.1884189916135	1.3328958586305	4.42560470954493e-30	2.41976445736589e-27	8.85120941908989e-30	3.30670770709646e-27	"prevalence"	138	121
"X2.7.11.33"	"diet"	"oat"	"dietoat"	-14.5917318050912	1.31579963167182	1.40868326341501e-28	6.89142680707499e-26	2.81736652683002e-28	9.41741832205128e-26	"prevalence"	138	127
"X2.7.4.28"	"diet"	"oat"	"dietoat"	-14.5917318050912	1.31579963167182	1.40868326341501e-28	6.89142680707499e-26	2.81736652683002e-28	9.41741832205128e-26	"prevalence"	138	127
"X2.3.2.2"	"diet"	"oat"	"dietoat"	-2.25757312512762	0.212629752115228	2.47379724668402e-26	1.1496972703964e-23	4.94759449336806e-26	1.57110863136903e-23	"prevalence"	138	131
"X3.6.1.41"	"diet"	"oat"	"dietoat"	-13.1151986670514	1.24372715726511	5.35289792750939e-26	2.36929458267618e-23	1.07057958550188e-25	3.23773854643925e-23	"prevalence"	138	127
"X2.7.1.12"	"diet"	"oat"	"dietoat"	-13.3970231952196	1.33200502941919	8.48847451942086e-24	3.58638048445532e-21	1.69769490388418e-23	4.90093651571292e-21	"prevalence"	138	131
"X2.7.11.33"	"diet"	"oat:durationWeek 6"	"dietoat:durationWeek 6"	16.02183330658	1.61443136908291	3.26928134415613e-23	1.26616542058047e-20	6.53856268831229e-23	1.73026715139464e-20	"prevalence"	138	127
"X2.7.4.28"	"diet"	"oat:durationWeek 6"	"dietoat:durationWeek 6"	16.02183330658	1.61443136908291	3.26928134415613e-23	1.26616542058047e-20	6.53856268831229e-23	1.73026715139464e-20	"prevalence"	138	127
"X2.7.1.12"	"duration"	"Week 6"	"durationWeek 6"	-12.4405417905305	1.2810854084227	2.70831421350952e-22	1.00695122458284e-19	5.41662842701905e-22	1.37604028559992e-19	"prevalence"	138	131
"X2.7.1.22"	"duration"	"Week 6"	"durationWeek 6"	7.28664484326805	0.894882082723843	3.86957335336257e-16	1.38337247382712e-13	7.73914670672517e-16	1.89043541286198e-13	"prevalence"	138	127
"X2.7.1.12"	"diet"	"oat:durationWeek 6"	"dietoat:durationWeek 6"	12.4405295731859	1.85910563039008	2.2063133228316e-11	7.59543790211842e-09	4.41262664561452e-11	1.03794784541844e-08	"prevalence"	138	131
"X3.6.1.41"	"diet"	"oat:durationWeek 6"	"dietoat:durationWeek 6"	13.9137963392979	2.15241905113744	1.01795728645166e-10	3.37925463484579e-08	2.03591457279969e-10	4.61789051851816e-08	"prevalence"	138	127
"X3.6.3.15"	"duration"	"Week 6"	"durationWeek 6"	-9.09044680174524	1.45162596911653	3.79458449907766e-10	1.21622975582506e-07	7.58916899671541e-10	1.66202801028068e-07	"prevalence"	138	132
"X6.3.2.3"	"diet"	"oat"	"dietoat"	11.4981831560158	1.84420687072055	4.524776276044e-10	1.4019265161943e-07	9.04955255004063e-10	1.9157902748436e-07	"prevalence"	138	133
"X2.1.1.51"	"duration"	"Week 6"	"durationWeek 6"	3.25791107119494	0.53957148808247	1.56074723452304e-09	4.67972436931988e-07	3.12149446661014e-09	6.39503592175517e-07	"prevalence"	138	135
"X1.1.1.244"	"diet"	"oat"	"dietoat"	-11.2044254983923	1.96416386827243	1.16736470738208e-08	3.3908296734739e-06	2.33472940113676e-08	4.63370825831862e-06	"prevalence"	138	132
"X3.5.4.1"	"duration"	"Week 6"	"durationWeek 6"	2.66426821081262	0.485782611889476	4.14671984954282e-08	1.16799275762123e-05	8.29343952713277e-08	1.5961101344491e-05	"prevalence"	138	133
"X3.4.24.71"	"diet"	"oat"	"dietoat"	-11.5245524974265	2.14946247768664	8.24892108005099e-08	2.25510945409041e-05	1.6497841479655e-07	3.0816997422732e-05	"prevalence"	138	133
"X6.3.4.6"	"duration"	"Week 6"	"durationWeek 6"	9.03946080199264	1.78938065965176	4.37835479969067e-07	0.000116276593894642	8.75670768238225e-07	0.000154482918030027	"prevalence"	138	135
"X4.2.1.113"	"diet"	"oat:durationWeek 6"	"dietoat:durationWeek 6"	-0.993058020462677	0.1822457626766	6.29004605222196e-07	0.000162405494598342	6.29004605222196e-07	0.000114137378507605	"abundance"	138	138
"X6.3.5.9"	"diet"	"oat:durationWeek 6"	"dietoat:durationWeek 6"	10.9667313558917	2.23325159951277	9.07720032930461e-07	0.000228033992056449	1.81543924190526e-06	0.000295637298085649	"prevalence"	138	132
"X4.2.1.113"	"duration"	"Week 6"	"durationWeek 6"	0.668685543375281	0.127929986086229	1.51103408446991e-06	0.000368886826277511	1.51103408446991e-06	0.000259366958661308	"abundance"	138	138
"X2.4.1.20"	"diet"	"oat:durationWeek 6"	"dietoat:durationWeek 6"	-10.2688821337057	2.13713932925265	1.54777689347207e-06	0.000368886826277511	3.09555139133084e-06	0.000491496172158554	"prevalence"	138	132
"X2.3.1.128"	"duration"	"Week 6"	"durationWeek 6"	-0.780167374583128	0.146020895666477	1.69020169413411e-06	0.000392760618674414	1.69020169413411e-06	0.000282486077880151	"abundance"	138	138
"X2.4.1.175"	"duration"	"Week 6"	"durationWeek 6"	-1.16580177016252	0.217431090435995	2.39782705006464e-06	0.00054360493732563	4.79564835055472e-06	0.00074285762620422	"abundance"	138	113
"X2.4.1.226"	"duration"	"Week 6"	"durationWeek 6"	-1.15116137426999	0.215819159568281	2.4818114749908e-06	0.000549248515715225	4.96361679059339e-06	0.000750569767549015	"abundance"	138	113
"X2.3.1.86"	"diet"	"oat"	"dietoat"	-6.86623384917173	1.53815698853223	8.04677324493029e-06	0.00173941296073551	1.60934817393009e-05	0.00232294778468864	"prevalence"	138	135
"X5.1.3.15"	"duration"	"Week 6"	"durationWeek 6"	-1.08607467964326	0.220995349064272	9.54158682626863e-06	0.00201566021704925	9.54158682626863e-06	0.00140927018450307	"abundance"	138	129
"X4.2.1.91"	"duration"	"Week 6"	"durationWeek 6"	-1.14573827688598	0.236520923883912	1.48042055584604e-05	0.00305789090368643	2.96081919524186e-05	0.00408786145847414	"abundance"	138	110
"X1.2.7.3"	"diet"	"oat:durationWeek 6"	"dietoat:durationWeek 6"	-10.5934702959167	2.47568258348738	1.87726509891871e-05	0.00379329980314118	3.75449495659491e-05	0.00507336116368815	"prevalence"	138	134
"X6.2.1.30"	"duration"	"Week 6"	"durationWeek 6"	0.237174015237763	0.0522953325040608	2.04609054539922e-05	0.00404647055733739	2.04609054539922e-05	0.00288771578974009	"abundance"	138	138
"X2.3.1.38"	"duration"	"Week 6"	"durationWeek 6"	-1.03600544799379	0.225491454368156	3.1308016777393e-05	0.00606266699887226	6.26150533628715e-05	0.00779741576289406	"abundance"	138	113
"X3.13.1.1"	"duration"	"Week 6"	"durationWeek 6"	-9.80177281222259	2.39957834319934	4.41167610957345e-05	0.00820130588769704	4.41167610957345e-05	0.00583719895247937	"prevalence"	138	6
"X3.5.1.49"	"duration"	"Week 6"	"durationWeek 6"	-8.28040955459504	2.02695583887414	4.40492022617605e-05	0.00820130588769704	8.80964641913011e-05	0.0101727389832537	"prevalence"	138	129
"X1.4.1.16"	"duration"	"Week 6"	"durationWeek 6"	0.162543485226867	0.0377076702296516	5.16129624972886e-05	0.00940671541984897	5.16129624972886e-05	0.00668967193510775	"abundance"	138	138
"X2.7.11.17"	"duration"	"Week 6"	"durationWeek 6"	-1.13118645931608	0.254831436348779	5.54104809877289e-05	0.00990462347655654	5.54104809877289e-05	0.00703823929506132	"abundance"	138	113
"X2.4.2.29"	"diet"	"oat"	"dietoat"	-0.0990697599770946	0.0369636191444577	7.28748738767782e-05	0.0122114389207142	7.28748738767782e-05	0.00873260988663054	"abundance"	138	138
"X3.1.26.3"	"diet"	"oat"	"dietoat"	-0.0849677494744248	0.0331969871019024	7.26125436155707e-05	0.0122114389207142	7.26125436155707e-05	0.00873260988663054	"abundance"	138	138
"X3.4.24.71"	"diet"	"oat:durationWeek 6"	"dietoat:durationWeek 6"	11.3850090152367	2.87178792412075	7.35707993071539e-05	0.0122114389207142	0.000147136185951797	0.0155743652829977	"prevalence"	138	133
"X3.5.1.49"	"diet"	"oat"	"dietoat"	-9.52655451849498	2.39510033453006	6.96383740017676e-05	0.0122114389207142	0.000139271898500402	0.0149917936843398	"prevalence"	138	129
