"feature"	"metadata"	"value"	"name"	"coef"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"X1.1.1.159"	"duration"	"Week 6"	"durationWeek 6"	-8.00392046710025	0.63516025433682	2.07379768396324e-36	6.28982837546052e-33	4.14759536792647e-36	8.70995027264559e-33	NA	"prevalence"	68	63
"X3.1.3.41"	"duration"	"Week 6"	"durationWeek 6"	7.96990413734847	0.641740100602005	2.05585232627391e-35	3.11770005279439e-32	4.11170465254784e-35	4.31728988517523e-32	NA	"prevalence"	68	63
"X2.7.1.22"	"duration"	"Week 6"	"durationWeek 6"	8.00394548767579	0.670991229442045	8.40347460695017e-33	8.49591282762662e-30	1.68069492139004e-32	1.17648644497303e-29	NA	"prevalence"	68	63
"X3.2.1.97"	"duration"	"Week 6"	"durationWeek 6"	-8.00389239395051	0.681462447657647	7.47718601463054e-32	5.66957629559361e-29	1.49543720292611e-31	7.85104531536207e-29	NA	"prevalence"	68	63
"X3.4.13.21"	"duration"	"Week 6"	"durationWeek 6"	8.00392508541253	0.715180284161044	4.48883238029641e-29	2.7229257218878e-26	8.97766476059287e-29	3.77061919944901e-26	NA	"prevalence"	68	63
"X2.7.1.32"	"duration"	"Week 6"	"durationWeek 6"	-7.9698492155746	0.733200495584629	1.60297080790904e-27	8.10301743398021e-25	1.60297080790904e-27	5.61039782768165e-25	NA	"prevalence"	68	5
"X1.8.4.2"	"duration"	"Week 6"	"durationWeek 6"	8.03235003364847	0.840664561783334	1.23867980540854e-21	5.36702264257731e-19	1.23867980540854e-21	3.71603941622563e-19	NA	"prevalence"	68	5
"X1.1.1.67"	"duration"	"Week 6"	"durationWeek 6"	9.01050793215009	1.46069110770885	6.88708030383403e-10	2.61106432019108e-07	1.37741606029248e-09	3.61571715826777e-07	NA	"prevalence"	68	60
"X1.1.1.41"	"duration"	"Week 6"	"durationWeek 6"	7.9843443469629	1.50580213486157	1.14298764721412e-07	3.8518683711116e-05	2.28597516378617e-07	5.3339420488344e-05	NA	"prevalence"	68	60
"X2.4.1.329"	"duration"	"Week 6"	"durationWeek 6"	7.42101406114137	2.06927724875056	0.000335424788046951	0.10173433821464	0.000670737066305467	0.123445884608411	NA	"prevalence"	68	64
"X3.2.1.21"	"duration"	"Week 6"	"durationWeek 6"	0.18444869422227	0.0466736102499984	0.000539656719799507	0.148798075559264	0.000539656719799507	0.113327911157897	NA	"abundance"	68	68
"X4.2.1.90"	"duration"	"Week 6"	"durationWeek 6"	-0.856581670175006	0.220758219891221	0.000705405054905204	0.17829112762729	0.000705405054905204	0.123445884608411	NA	"abundance"	68	57
"X3.1.4.46"	"duration"	"Week 6"	"durationWeek 6"	0.187966029574448	0.0506567498954646	0.000981055930418204	0.228887895150647	0.000981055930418204	0.158478265682941	NA	"abundance"	68	68
"X2.1.1.191"	"duration"	"Week 6"	"durationWeek 6"	0.163692751840396	0.0449057934673262	0.0012457532029958	0.251891297645751	0.0012457532029958	0.18686298044937	NA	"abundance"	68	68
"X2.3.3.14"	"duration"	"Week 6"	"durationWeek 6"	-0.800583345593152	0.0959713729279611	0.00117740078177761	0.251891297645751	0.00235341529095429	0.290716006529647	NA	"abundance"	68	13
"X3.1.2.12"	"duration"	"Week 6"	"durationWeek 6"	-0.546718581566592	0.15494803160987	0.00136767379279032	0.256127702559083	0.00136767379279032	0.188422333114063	NA	"abundance"	68	68
"X3.1.26.8"	"duration"	"Week 6"	"durationWeek 6"	0.39890912306959	0.114458589986203	0.0014355987284881	0.256127702559083	0.0014355987284881	0.188422333114063	NA	"abundance"	68	68
