"feature"	"metadata"	"value"	"name"	"coef"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"model"	"N"	"N_not_zero"
"X1.1.1.159"	"duration"	"Week 6"	"durationWeek 6"	-8.00392046710025	0.63516025433682	2.07379768396324e-36	6.28982837546052e-33	4.14759536792647e-36	8.70995027264559e-33	"prevalence"	68	63
"X3.1.3.41"	"duration"	"Week 6"	"durationWeek 6"	7.96990413734847	0.641740100602005	2.05585232627391e-35	3.11770005279439e-32	4.11170465254784e-35	4.31728988517523e-32	"prevalence"	68	63
"X2.7.1.22"	"duration"	"Week 6"	"durationWeek 6"	8.00394548767579	0.670991229442045	8.40347460695017e-33	8.49591282762662e-30	1.68069492139004e-32	1.17648644497303e-29	"prevalence"	68	63
"X3.2.1.97"	"duration"	"Week 6"	"durationWeek 6"	-8.00389239395051	0.681462447657647	7.47718601463054e-32	5.66957629559361e-29	1.49543720292611e-31	7.85104531536207e-29	"prevalence"	68	63
"X3.4.13.21"	"duration"	"Week 6"	"durationWeek 6"	8.00392508541253	0.715180284161044	4.48883238029641e-29	2.7229257218878e-26	8.97766476059287e-29	3.77061919944901e-26	"prevalence"	68	63
"X2.7.1.32"	"duration"	"Week 6"	"durationWeek 6"	-7.9698492155746	0.733200495584629	1.60297080790904e-27	8.10301743398021e-25	1.60297080790904e-27	5.61039782768165e-25	"prevalence"	68	5
"X1.8.4.2"	"duration"	"Week 6"	"durationWeek 6"	8.03235003364847	0.840664561783334	1.23867980540854e-21	5.36702264257731e-19	1.23867980540854e-21	3.71603941622563e-19	"prevalence"	68	5
"X1.1.1.67"	"duration"	"Week 6"	"durationWeek 6"	9.01050793215009	1.46069110770885	6.88708030383403e-10	2.61106432019108e-07	1.37741606029248e-09	3.61571715826777e-07	"prevalence"	68	60
"X1.1.1.41"	"duration"	"Week 6"	"durationWeek 6"	7.9843443469629	1.50580213486157	1.14298764721412e-07	3.8518683711116e-05	2.28597516378617e-07	5.3339420488344e-05	"prevalence"	68	60
"X2.4.1.329"	"duration"	"Week 6"	"durationWeek 6"	7.42101406114137	2.06927724875056	0.000335424788046951	0.10173433821464	0.000670737066305467	0.123689317453599	"prevalence"	68	64
"X3.2.1.21"	"duration"	"Week 6"	"durationWeek 6"	0.18444869422227	0.0466736102499984	0.000540603158611859	0.149059034551797	0.000540603158611859	0.11352666330849	"abundance"	68	68
"X4.2.1.90"	"duration"	"Week 6"	"durationWeek 6"	-0.856581670175006	0.220758219891221	0.000706796099734849	0.178642714207983	0.000706796099734849	0.123689317453599	"abundance"	68	57
"X3.1.4.46"	"duration"	"Week 6"	"durationWeek 6"	0.187966029574448	0.0506567498954646	0.000977983572432871	0.228171090399146	0.000977983572432871	0.157981961700694	"abundance"	68	68
"X2.1.1.191"	"duration"	"Week 6"	"durationWeek 6"	0.163692751840396	0.0449057934673262	0.00125389973084123	0.253538525576097	0.00125389973084123	0.187387598135316	"abundance"	68	68
"X3.1.2.12"	"duration"	"Week 6"	"durationWeek 6"	-0.546718581566592	0.15494803160987	0.00136099451332444	0.254721158608141	0.00136099451332444	0.187387598135316	"abundance"	68	68
"X3.1.26.8"	"duration"	"Week 6"	"durationWeek 6"	0.39890912306959	0.114458589986203	0.00142771503341194	0.254721158608141	0.00142771503341194	0.187387598135316	"abundance"	68	68
"X1.1.1.159"	"duration"	"Week 6"	"durationWeek 6"	0.0723681110785935	0.222450517436257	0.739520278883517	1	4.14759536792647e-36	8.70995027264559e-33	"abundance"	68	63
"X1.1.1.41"	"duration"	"Week 6"	"durationWeek 6"	0.143576477476266	0.200194237341796	0.473195888904899	1	2.28597516378617e-07	5.3339420488344e-05	"abundance"	68	60
"X1.1.1.67"	"duration"	"Week 6"	"durationWeek 6"	-0.223802005823308	0.290235202921692	0.452918861598075	1	1.37741606029248e-09	3.61571715826777e-07	"abundance"	68	60
"X2.4.1.329"	"duration"	"Week 6"	"durationWeek 6"	0.133217211511039	0.331961519631875	0.685856144823584	1	0.000670737066305467	0.123689317453599	"abundance"	68	64
"X2.7.1.22"	"duration"	"Week 6"	"durationWeek 6"	-0.0433891317593669	0.256803216431759	0.874562667296088	1	1.68069492139004e-32	1.17648644497303e-29	"abundance"	68	63
"X3.1.3.41"	"duration"	"Week 6"	"durationWeek 6"	-0.0792768457647566	0.275850179052369	0.782791006700761	1	4.11170465254784e-35	4.31728988517523e-32	"abundance"	68	63
"X3.2.1.97"	"duration"	"Week 6"	"durationWeek 6"	0.168501049357537	0.168398213443596	0.319958258481867	1	1.49543720292611e-31	7.85104531536207e-29	"abundance"	68	63
"X3.4.13.21"	"duration"	"Week 6"	"durationWeek 6"	-0.4845492923332	0.262603362584329	0.0774657262872999	1	8.97766476059287e-29	3.77061919944901e-26	"abundance"	68	63
"X4.2.1.90"	"duration"	"Week 6"	"durationWeek 6"	-0.276399923175131	0.748019746316837	0.711748470941453	1	0.000706796099734849	0.123689317453599	"prevalence"	68	57
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"X1.8.4.2"	"duration"	"Week 6"	"durationWeek 6"	0.55482660536111	0.484218339132373	0.330993581401352	NA	1.23867980540854e-21	3.71603941622563e-19	"abundance"	68	5
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"X2.7.1.32"	"duration"	"Week 6"	"durationWeek 6"	-0.566275304382662	0.312152669068158	0.166374446427419	NA	1.60297080790904e-27	5.61039782768165e-25	"abundance"	68	5
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"X2.1.1.191"	"duration"	"Week 6"	"durationWeek 6"	NA	NA	NA	NA	0.00125389973084123	0.187387598135316	"prevalence"	68	68
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"X3.1.2.12"	"duration"	"Week 6"	"durationWeek 6"	NA	NA	NA	NA	0.00136099451332444	0.187387598135316	"prevalence"	68	68
"X3.1.26.8"	"duration"	"Week 6"	"durationWeek 6"	NA	NA	NA	NA	0.00142771503341194	0.187387598135316	"prevalence"	68	68
"X3.1.4.46"	"duration"	"Week 6"	"durationWeek 6"	NA	NA	NA	NA	0.000977983572432871	0.157981961700694	"prevalence"	68	68
"X3.2.1.21"	"duration"	"Week 6"	"durationWeek 6"	NA	NA	NA	NA	0.000540603158611859	0.11352666330849	"prevalence"	68	68
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
