"feature"	"metadata"	"value"	"name"	"coef"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"model"	"N"	"N_not_zero"
"GALACTARDEG.PWY..D.galactarate.degradation.I"	"timepoint"	"after"	"timepointafter"	16.098778704471	0.0889063888351285	0	0	0	0	"prevalence"	138	119
"GLUCARGALACTSUPER.PWY..superpathway.of.D.glucarate.and.D.galactarate.degradation"	"timepoint"	"after"	"timepointafter"	16.098778704471	0.0889063888351285	0	0	0	0	"prevalence"	138	119
"GALACTARDEG.PWY..D.galactarate.degradation.I"	"diet"	"oat:timepointafter"	"dietoat:timepointafter"	-17.2404701112609	1.11299331112781	4.04138253161259e-54	2.02675333960372e-51	8.08276506322515e-54	2.78047118174945e-51	"prevalence"	138	119
"GLUCARGALACTSUPER.PWY..superpathway.of.D.glucarate.and.D.galactarate.degradation"	"diet"	"oat:timepointafter"	"dietoat:timepointafter"	-17.2404701112609	1.11299331112781	4.04138253161259e-54	2.02675333960372e-51	8.08276506322515e-54	2.78047118174945e-51	"prevalence"	138	119
"GLYCOLYSIS.TCA.GLYOX.BYPASS..superpathway.of.glycolysis..pyruvate.dehydrogenase..TCA..and.glyoxylate.bypass"	"timepoint"	"after"	"timepointafter"	-6.97575155560503	1.32968455973778	1.55293423823008e-07	6.23037216377909e-05	3.10586823529969e-07	8.54734938354475e-05	"prevalence"	138	18
"FASYN.INITIAL.PWY..superpathway.of.fatty.acid.biosynthesis.initiation..E..coli."	"timepoint"	"after"	"timepointafter"	-1.0273630452417	0.219659713880313	1.94460029259486e-05	0.00650144697824213	3.88916277048673e-05	0.00891914662031624	"abundance"	138	113
"PWY.622..starch.biosynthesis"	"timepoint"	"after"	"timepointafter"	-0.83654945640337	0.202368515666979	0.000117327193601194	0.0336226214805707	0.000117327193601194	0.0230631740564633	"abundance"	138	123
"DAPLYSINESYN.PWY..L.lysine.biosynthesis.I"	"timepoint"	"after"	"timepointafter"	-0.431947647014304	0.111523524964134	0.000246589596044961	0.0618323412082739	0.000246589596044961	0.0424134105197333	"abundance"	138	138
"PWY.7115..C4.photosynthetic.carbon.assimilation.cycle..NAD.ME.type"	"timepoint"	"after"	"timepointafter"	-0.733262899313228	0.195055603048573	0.000360038944422752	0.0802486802791156	0.000360038944422752	0.055045954169523	"abundance"	138	138
"PWY0.1061..superpathway.of.L.alanine.biosynthesis"	"timepoint"	"after"	"timepointafter"	-0.955371470252606	0.263045476960388	0.000545564198274841	0.109440178173933	0.000545564198274841	0.0750696336826181	"abundance"	138	138
"GALACTARDEG.PWY..D.galactarate.degradation.I"	"timepoint"	"after"	"timepointafter"	-0.447248886351249	0.271026610283575	0.104576819963217	0.878890786445904	0	0	"abundance"	138	119
"GLUCARGALACTSUPER.PWY..superpathway.of.D.glucarate.and.D.galactarate.degradation"	"timepoint"	"after"	"timepointafter"	-0.447248886351249	0.271026610283575	0.104576819963217	0.878890786445904	0	0	"abundance"	138	119
"GLYCOLYSIS.TCA.GLYOX.BYPASS..superpathway.of.glycolysis..pyruvate.dehydrogenase..TCA..and.glyoxylate.bypass"	"timepoint"	"after"	"timepointafter"	2.52766110607677	2.27871383028615	0.306686104540866	0.898302348095839	3.10586823529969e-07	8.54734938354475e-05	"abundance"	138	18
"FASYN.INITIAL.PWY..superpathway.of.fatty.acid.biosynthesis.initiation..E..coli."	"timepoint"	"after"	"timepointafter"	-3.10182318549042	3.24715181129415	0.339454179338001	0.906901825749059	3.88916277048673e-05	0.00891914662031624	"prevalence"	138	113
"GALACTARDEG.PWY..D.galactarate.degradation.I"	"diet"	"oat:timepointafter"	"dietoat:timepointafter"	0.0729259877396161	0.404162277020603	0.857458299325109	1	8.08276506322515e-54	2.78047118174945e-51	"abundance"	138	119
"GLUCARGALACTSUPER.PWY..superpathway.of.D.glucarate.and.D.galactarate.degradation"	"diet"	"oat:timepointafter"	"dietoat:timepointafter"	0.0729259877396161	0.404162277020603	0.857458299325109	1	8.08276506322515e-54	2.78047118174945e-51	"abundance"	138	119
"PWY.622..starch.biosynthesis"	"timepoint"	"after"	"timepointafter"	-1.74340267132925e-05	1.86626729502476	0.99999254643706	1	0.000117327193601194	0.0230631740564633	"prevalence"	138	123
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
