"feature"	"metadata"	"value"	"name"	"coef"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"GALACTARDEG.PWY..D.galactarate.degradation.I"	"duration"	"Week 6"	"durationWeek 6"	16.098778704471	0.0889063888351285	0	0	0	0	NA	"prevalence"	138	119
"GLUCARGALACTSUPER.PWY..superpathway.of.D.glucarate.and.D.galactarate.degradation"	"duration"	"Week 6"	"durationWeek 6"	16.098778704471	0.0889063888351285	0	0	0	0	NA	"prevalence"	138	119
"GALACTARDEG.PWY..D.galactarate.degradation.I"	"diet"	"oat:durationWeek 6"	"dietoat:durationWeek 6"	-17.2404701112609	1.11299331112781	4.04138253161259e-54	2.02675333960372e-51	8.08276506322515e-54	2.78047118174945e-51	NA	"prevalence"	138	119
"GLUCARGALACTSUPER.PWY..superpathway.of.D.glucarate.and.D.galactarate.degradation"	"diet"	"oat:durationWeek 6"	"dietoat:durationWeek 6"	-17.2404701112609	1.11299331112781	4.04138253161259e-54	2.02675333960372e-51	8.08276506322515e-54	2.78047118174945e-51	NA	"prevalence"	138	119
"GLYCOLYSIS.TCA.GLYOX.BYPASS..superpathway.of.glycolysis..pyruvate.dehydrogenase..TCA..and.glyoxylate.bypass"	"duration"	"Week 6"	"durationWeek 6"	-6.97575155560503	1.32968455973778	1.55293423823008e-07	6.23037216377909e-05	3.10586823529969e-07	8.54734938354475e-05	NA	"prevalence"	138	18
"FASYN.INITIAL.PWY..superpathway.of.fatty.acid.biosynthesis.initiation..E..coli."	"duration"	"Week 6"	"durationWeek 6"	-1.0273630452417	0.219659713880313	2.7886261707389e-05	0.00932330683083706	5.57717457711861e-05	0.0127903203635253	NA	"abundance"	138	113
"PWY.622..starch.biosynthesis"	"duration"	"Week 6"	"durationWeek 6"	-0.83654945640337	0.202368515666979	0.000170925423624758	0.0489823428273236	0.000170925423624758	0.0335990547010954	NA	"abundance"	138	123
"DAPLYSINESYN.PWY..L.lysine.biosynthesis.I"	"duration"	"Week 6"	"durationWeek 6"	-0.431947647014304	0.111523524964134	0.000543455155945568	0.121130115869645	0.000543455155945568	0.0830882549534557	NA	"abundance"	138	138
"PWY.7115..C4.photosynthetic.carbon.assimilation.cycle..NAD.ME.type"	"duration"	"Week 6"	"durationWeek 6"	-0.733262899313228	0.195055603048573	0.000520743623393909	0.121130115869645	0.000520743623393909	0.0830882549534557	NA	"abundance"	138	138
"PWY0.1061..superpathway.of.L.alanine.biosynthesis"	"duration"	"Week 6"	"durationWeek 6"	-0.955371470252606	0.263045476960388	0.000700843854120848	0.140589277136642	0.000700843854120848	0.0964361143270287	NA	"abundance"	138	138
