"feature"	"metadata"	"value"	"name"	"coef"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"model"	"N"	"N_not_zero"
"GALACTARDEG.PWY..D.galactarate.degradation.I"	"duration"	"Week 6"	"durationWeek 6"	16.098778704471	0.0889063888351285	0	0	0	0	"prevalence"	138	119
"GLUCARGALACTSUPER.PWY..superpathway.of.D.glucarate.and.D.galactarate.degradation"	"duration"	"Week 6"	"durationWeek 6"	16.098778704471	0.0889063888351285	0	0	0	0	"prevalence"	138	119
"GALACTARDEG.PWY..D.galactarate.degradation.I"	"diet"	"oat:durationWeek 6"	"dietoat:durationWeek 6"	-17.2404701112609	1.11299331112781	4.04138253161259e-54	2.02675333960372e-51	8.08276506322515e-54	2.78047118174945e-51	"prevalence"	138	119
"GLUCARGALACTSUPER.PWY..superpathway.of.D.glucarate.and.D.galactarate.degradation"	"diet"	"oat:durationWeek 6"	"dietoat:durationWeek 6"	-17.2404701112609	1.11299331112781	4.04138253161259e-54	2.02675333960372e-51	8.08276506322515e-54	2.78047118174945e-51	"prevalence"	138	119
"GLYCOLYSIS.TCA.GLYOX.BYPASS..superpathway.of.glycolysis..pyruvate.dehydrogenase..TCA..and.glyoxylate.bypass"	"duration"	"Week 6"	"durationWeek 6"	-6.97575155560503	1.32968455973778	1.55293423823008e-07	6.23037216377909e-05	3.10586823529969e-07	8.54734938354475e-05	"prevalence"	138	18
"FASYN.INITIAL.PWY..superpathway.of.fatty.acid.biosynthesis.initiation..E..coli."	"duration"	"Week 6"	"durationWeek 6"	-1.0273630452417	0.219659713880313	2.79940801124654e-05	0.00935935411760093	5.59873765564094e-05	0.0128397716902699	"abundance"	138	113
"PWY.622..starch.biosynthesis"	"duration"	"Week 6"	"durationWeek 6"	-0.83654945640337	0.202368515666979	0.000170004560855831	0.0487184498681139	0.000170004560855831	0.0334180393910891	"abundance"	138	123
"DAPLYSINESYN.PWY..L.lysine.biosynthesis.I"	"duration"	"Week 6"	"durationWeek 6"	-0.431947647014304	0.111523524964134	0.000546708647362237	0.121855282956516	0.000546708647362237	0.0835856776411598	"abundance"	138	138
"PWY.7115..C4.photosynthetic.carbon.assimilation.cycle..NAD.ME.type"	"duration"	"Week 6"	"durationWeek 6"	-0.733262899313228	0.195055603048573	0.000520783830251772	0.121855282956516	0.000520783830251772	0.0835856776411598	"abundance"	138	138
"PWY0.1061..superpathway.of.L.alanine.biosynthesis"	"duration"	"Week 6"	"durationWeek 6"	-0.955371470252606	0.263045476960388	0.00069670814235767	0.139759653356949	0.00069670814235767	0.0958670403884154	"abundance"	138	138
"GLYCOLYSIS.TCA.GLYOX.BYPASS..superpathway.of.glycolysis..pyruvate.dehydrogenase..TCA..and.glyoxylate.bypass"	"diet"	"oat:durationWeek 6"	"dietoat:durationWeek 6"	6.1530980221182	1.84214201172426	0.000837221224510103	0.152678706942479	0.00167374150964144	0.209369847024238	"prevalence"	138	18
"GALACTARDEG.PWY..D.galactarate.degradation.I"	"duration"	"Week 6"	"durationWeek 6"	-0.447248886351249	0.271026610283575	0.118291629642757	0.891641162753703	0	0	"abundance"	138	119
"GLUCARGALACTSUPER.PWY..superpathway.of.D.glucarate.and.D.galactarate.degradation"	"duration"	"Week 6"	"durationWeek 6"	-0.447248886351249	0.271026610283575	0.118258557567063	0.891641162753703	0	0	"abundance"	138	119
"GLYCOLYSIS.TCA.GLYOX.BYPASS..superpathway.of.glycolysis..pyruvate.dehydrogenase..TCA..and.glyoxylate.bypass"	"diet"	"oat:durationWeek 6"	"dietoat:durationWeek 6"	-3.98529176090488	2.68697761667509	0.181429974303244	0.907683078777883	0.00167374150964144	0.209369847024238	"abundance"	138	18
"GLYCOLYSIS.TCA.GLYOX.BYPASS..superpathway.of.glycolysis..pyruvate.dehydrogenase..TCA..and.glyoxylate.bypass"	"duration"	"Week 6"	"durationWeek 6"	2.52766110607677	2.27871383028615	0.30401247569211	0.925228265139068	3.10586823529969e-07	8.54734938354475e-05	"abundance"	138	18
"FASYN.INITIAL.PWY..superpathway.of.fatty.acid.biosynthesis.initiation..E..coli."	"duration"	"Week 6"	"durationWeek 6"	-3.10182318549042	3.24715181129415	0.339454179338001	0.9405318836354	5.59873765564094e-05	0.0128397716902699	"prevalence"	138	113
"GALACTARDEG.PWY..D.galactarate.degradation.I"	"diet"	"oat:durationWeek 6"	"dietoat:durationWeek 6"	0.0729259877396161	0.404162277020603	0.901514171827587	1	8.08276506322515e-54	2.78047118174945e-51	"abundance"	138	119
"GLUCARGALACTSUPER.PWY..superpathway.of.D.glucarate.and.D.galactarate.degradation"	"diet"	"oat:durationWeek 6"	"dietoat:durationWeek 6"	0.0729259877396161	0.404162277020603	0.901551911028277	1	8.08276506322515e-54	2.78047118174945e-51	"abundance"	138	119
"PWY.622..starch.biosynthesis"	"duration"	"Week 6"	"durationWeek 6"	-1.74340267132925e-05	1.86626729502476	0.99999254643706	1	0.000170004560855831	0.0334180393910891	"prevalence"	138	123
